year;index;data-afisare;data-creare;data-cerere;nr.cerere;regim-h;actiune;tip-lucrari;adresa;titlu
2015;1;5-01-2015;26-11-2014;420525;20-11-2014;P+M;construire,amenajare;locuinte unifamiliale-izolate,imprejmuire,amenajari exterioare;"judetul Cluj, Uranus, nr. 7";"LOCUINTA UNIFAMILIALA P+M, IMPREJMUIRE, AMENAJARI EXTERIOARE"
2015;2;5-01-2015;02-12-2014;417277;18-11-2014;P+M;construire,amenajare;locuinte unifamiliale-izolate,amenajari exterioare;"judetul Cluj, Strada Cosminului, nr. 40";"CONSTRUIRE CASA UNIFAMILIALA P+M, AMENAJARI EXTERIOARE"
2015;3;5-01-2015;08-12-2014;419889;19-11-2014;;construire,continuare lucrari,amenajare;biserica,amenajari exterioare;"judetul Cluj, Bulevard 1 Decembrie 1918, nr. 43 prov";"CONTINUARE LUCRARI FARA MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 1511/27.10.2009-CONSTRUIRE BISERICA, AMENAJARI EXTERIOARE Continuare lucrari de construire incepand de la cota +/-0.00-structura de rezistenta, finisaje, tamplarii, amenajari exterioare."
2015;4;5-01-2015;05-01-2015;440408;04-12-2014;S+P+3E;construire,amenajare;birouri,amenajari exterioare;"judetul Cluj, Grigore Moisil, nr. 14 prov";"IMOBIL CU FUNCTIUNI MIXTE (BIROURI SI LOCUINTE) S+P+3E, AMENAJARI EXTERIOARE"
2015;5;5-01-2015;11-12-2014;447883;10-12-2014;;bransare;;"judetul Cluj, Strada Cantonului, nr. 9";"BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R."
2015;6;5-01-2015;08-12-2014;436203;02-12-2014;;bransare;;"judetul Cluj, Strada Branului, nr. 49A";"BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran)   si P.R."
2015;7;5-01-2015;08-12-2014;436211;02-12-2014;;bransare;;"judetul Cluj, Strada Ionesco Eugen, nr. 105";"BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran)   si P.R"
2015;8;5-01-2015;18-11-2014;411566;13-11-2014;;modificari interioare,amenajare;imprejmuire,amenajari exterioare;"judetul Cluj, HATEG, nr. 32, et. POD, ap. 1,POD";"AMENAJARE MANSARDA IN POD EXISTENT,MODIFICARI INTERIOARE,REFACERE IMPREJMUIRE SI AMENAJARI EXTERIOARE"
2015;9;5-01-2015;05-01-2015;424451;24-11-2014;;amplasare;marcare;"judetul Cluj, Henri Barbusse, nr. 16";"AMPLASARE FIRMA LUMINOASA PE FATADA IMOBILULUI"
2015;10;5-01-2015;08-12-2014;438387;03-12-2014;;bransare;;"judetul Cluj, Strada Ionesco Eugen, nr. 75E";"BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R."
2015;11;5-01-2015;11-12-2014;444308;08-12-2014;;bransare;;"judetul Cluj, Strada Macesului, nr. 33D";"BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R."
2015;12;5-01-2015;09-12-2014;411424;13-11-2014;;amplasare;birouri,marcare;"judetul Cluj, Cale Baciului, nr. 2-4, ap. 4,54";"MONTAREA   DE   FIRME LUMINOASE     ÎN SISTEM PROVIZORIU ŞI DEMONTABIL  pe durata existenţei   spaţiului cu destinaţia de birouri ."
2015;13;5-01-2015;28-11-2014;428050;25-11-2014;;extindere,bransare;;"judetul Cluj, Cale Turzii, nr. 279 PROV.";"EXTINDERE  CONDUCTĂ  GAZ DE PRESIUNE REDUSĂ ŞI DOUĂ BRANSAMENTE   DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) ,2  P.R."
2015;14;5-01-2015;09-12-2014;433110;28-11-2014;;bransare;;"judetul Cluj, Avram Iancu, CALEA MOTILOR";"REABILITAREA REŢELELOR DE APĂ POTABILĂ( ÎNLOCUIRE  CONDUCTE ŞI BRANŞAMENTE EXISTENTE , CĂMINE DE VANE , MONTAJ HIDRANŢI DE INCENDIU ) PE STRĂZILE AVRAM IANCU ŞI CALEA MOŢILOR ."
2015;15;5-01-2015;03-12-2014;430423;26-11-2014;S+P+E,parter;modificare solutie;locuinte unifamiliale-cuplate,garaj;"judetul Cluj, Romul Ladea, nr. 83-85";"MODIFICARE DE SOLUTIE CONSTRUCTIVA LA 2 LOCUINTE UNIFAMILIALE CUPLATE S+P+E AUTORIZATE CU A.C. NR.900 DIN 19.07.2012, NR.79 DIN 06.02.2012 SI NR.2028 DIN 12.12.2008 . Modificari propuse: realizare 2 garaje la parter – cu incadrarea in limitele avizelor si acordurilor obtinute pentru autorizatia initiala."
2015;16;5-01-2015;09-12-2014;391919;31-10-2014;Sp+P;construire;locuinte unifamiliale-izolate,birouri;"judetul Cluj, Colonia SOPOR, nr. 43 A";"CLADIRE CU FUNCTIUNE MIXTA:LOCUINTA SI BIROU Sp+P"
2015;17;5-01-2015;09-12-2014;420081;19-11-2014;;construire;locuinte unifamiliale-cuplate,imprejmuire;"judetul Cluj, Strada Macesului, nr. 23 B, 23C";"CONSTRUIRE 2 CASE CUPLATE IN CONFORMITATE CU PUD APROBAT PRIN HCL NR 351/2013, IMPREJMUIRE TEREN"
2015;18;5-01-2015;10-12-2014;421249;20-11-2014;P+E;construire;locuinte unifamiliale-cuplate,imprejmuire;"judetul Cluj, Strada Macesului, nr. 23D,23E";"CONSTRUIRE LOCUINTE UNIFAMILIALE CUPLATE P+E IN CONFORMITATE CU PUD APROBAT CU HCL 351/26.08.2008, IMPREJMUIRE TEREN"
2015;19;5-01-2015;21-11-2014;411610;13-11-2014;S+P+2E;construire,amenajare;locuinte colective,imprejmuire,amenajari exterioare;"judetul Cluj, Strada Frunzisului, nr. 11";"IMOBIL CU LABORATOR DE TEHNICA DENTARA SI DOUA APARTAMENTE S+P+2E,  ÎMPREJMUIRE, AMENAJARI EXTERIOARE."
2015;20;5-01-2015;09-12-2014;420083;19-11-2014;P+E;construire,amenajare;locuinte unifamiliale-cuplate,imprejmuire,amenajari exterioare;"judetul Cluj, Strada Macesului, nr. 23G";"CASĂ UNIFAMILIALĂ P+E IN REGIM CUPLAT, ÎMPREJMUIRE, AMENAJARI EXTERIOARE."
2015;21;5-01-2015;09-12-2014;420091;19-11-2014;P+E;construire,amenajare;locuinte unifamiliale-cuplate,imprejmuire,amenajari exterioare;"judetul Cluj, Strada Macesului, nr. 23F";"CASĂ UNIFAMILIALĂ P+E IN REGIM CUPLAT, ÎMPREJMUIRE, AMENAJARI EXTERIOARE."
2015;22;5-01-2015;03-12-2014;422647;20-11-2014;D+P+5E+Eretras;modificare solutie;;"judetul Cluj, romul ladea, nr. 27";"MODIF SOL C-TIVA AUT CU A.C. nr.1655/30.12.2013 CONSTR 3IMOBILE DE LOC COL – Etapa 1– CORP C1 D+P+5E+Eretras CU 32 AP(DIN CARE 1 AP CA SP COM)  SI AM 29 LOC DE PARCARE SUBTERANE. Modif propuse: renuntare la et tehnic, modif parapeti si balustrade la terase, modif usa de acces la sp com, fatade –se incadreaza in lim aviz si acord obtinute."
2015;23;5-01-2015;09-12-2014;427574;25-11-2014;D+P+E;construire,amenajare;locuinte unifamiliale-izolate,imprejmuire,amenajari exterioare;"judetul Cluj, Strada Pallady Theodor, nr. 8A prov";"CASĂ UNIFAMILIALĂ D+P+E, ÎMPREJMUIRE, AMENAJARI EXTERIOARE."
2015;24;5-01-2015;04-12-2014;436179;02-12-2014;;extindere,bransare;;"judetul Cluj, Strada Ladea Romul, nr. 27, bl. C3";"EXTINDERE  CONDUCTĂ  GAZ DE PRESIUNE REDUSĂ ŞI BRANSAMENT   GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran),  P.R."
2015;25;5-01-2015;12-12-2014;447887;10-12-2014;;bransare;;"judetul Cluj, Voronet, nr. 1b";"BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R."
2015;26;7-01-2015;07-01-2015;427013;25-11-2014;;modificari interioare;locuinte unifamiliale-izolate;"judetul Cluj, Strada Anina, nr. 9, sc. 2, et. 1, ap. 13";"Modificari interioare si deschidere acces suplimentar din casa scarii"
2015;27;12-01-2015;27-11-2014;402856;07-11-2014;;extindere;;"judetul Cluj, Strada Calarasi, nr. 1";"EXTINDERE CONDUCTA DE CANALIZARE SI RACORD CANAL MANEAJER."
2015;28;12-01-2015;12-12-2014;447902;10-12-2014;;bransare;;"judetul Cluj, DINICU GOLESCU , nr. 8";"BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran)   si P.R."
2015;29;12-01-2015;11-12-2014;427543;24-11-2014;D+P+E;construire,amenajare;locuinte unifamiliale-izolate,imprejmuire,amenajari exterioare;"judetul Cluj, Strada Viile Nadasel, nr. 12";"CONSTRUIRE CASA UNIFAMILIALA D+P+E, REALIZARE IMPREJMUIRE SI AMENAJARI EXTERIOARE"
2015;30;12-01-2015;08-12-2014;439265;04-12-2014;;amplasare;marcare;"judetul Cluj, Strada Baritiu George, nr. 10-12";"MONTAREA UNEI FIRME LUMINOASE ÎN SISTEM PROVIZORIU ŞI DEMONTABIL pe durata existenţei Contractului de inchiriere nr. 1/18.12.2009"
2015;31;12-01-2015;08-12-2014;438525;03-12-2014;;urgenta,consolidare,amplasare;acoperis;"judetul Cluj";"LUCRARI DE INTERVENTIE IN PRIMA URGENTA: CONSOLIDARE ATIC, REPARARE SARPANTA, SCHIMBARE INVELITOARE, DEMONTARE COSURI DE FUM DEZAFECTATE"
2015;32;12-01-2015;09-12-2014;440111;04-12-2014;;extindere,etajare;locuinte unifamiliale-izolate,imprejmuire;"judetul Cluj, Strada Galaxiei, nr. 16";"EXTINDERE, ETAJARE LOCUINTA UNIFAMILIALA SI IMPREJMUIRE"
2015;33;12-01-2015;16-12-2014;434980;02-12-2014;;extindere,etajare,modernizare;locuinte unifamiliale-izolate;"judetul Cluj, Strada Teleorman, nr. 18";"MODERNIZARE, EXTINDERE SI MANSARDARE CASA UNIFAMILIALA."
2015;34;12-01-2015;16-12-2014;436285;02-12-2014;P+M;construire,amenajare;locuinte unifamiliale-izolate,imprejmuire,amenajari exterioare;"judetul Cluj, Stefan Ruha, nr. 18";"CASĂ UNIFAMILIALĂ P+M, ÎMPREJMUIRE, AMENAJARI EXTERIOARE."
2015;35;12-01-2015;16-12-2014;445469;09-12-2014;D+P,D+P+M;etajare,continuare lucrari,amenajare;locuinte unifamiliale-izolate;"judetul Cluj, Strada Pop I. Reteganu, nr. 15";"CONTINUARE DE LUCRARI FARA MODIFICARE SOLUTIE CONSTRUCTIVA LA  A.C. NR. 754/28.05.2007, AC 1379/05.12.2011-MANSARDARE CASA FAMILIALA D+P SI AMENAJARE TERASA. REGIM FINAL DE INALTIME D+P+M. IN URMA MANSARDARII AU REZULTAT 3 UNITATI LOCATIVE. Continuare lucrari: finisaje exterioare-partiial, amenajari exter."
2015;36;12-01-2015;16-12-2014;432502;27-11-2014;;amenajare;amenajari interioare;"judetul Cluj, Strada Ploiesti, nr. 42, ap. 3";"AMENAJARI INTERIOARE Investitor: Azap Pavel-Ion"
2015;37;12-01-2015;12-01-2015;396701;04-11-2014;D+P+E;etajare,continuare lucrari,amenajare;locuinte unifamiliale-izolate,imprejmuire,amenajari interioare;"judetul Cluj, Strada Grigorescu Eremia, general, nr. 9";"CONTINUARE LUCRARI FARRA MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 1195/05.10.2011, AC 1157/01.09.2009-AMENAJARI INTERIOARE SI ETAJARE CASA EXISTENTA D+P+E, REFACERE IMPREJMUIRE Continuare lucrari: finisaje exter,amenajari exter."
2015;38;13-01-2015;13-01-2015;451533;12-12-2014;;schimbare destinatie;locuinte unifamiliale-izolate;"judetul Cluj, Strada Alexandrescu Grigore, nr. 14, bl. IV, ap. 64";"schimbare de destinatie din locuinta in salon de cosmetica"
2015;39;13-01-2015;13-01-2015;447894;10-12-2014;;bransare;;"judetul Cluj, VORONET, nr. 8";"BRANSAMENT GAZ"
2015;40;13-01-2015;05-01-2015;453843;15-12-2014;;bransare;;"judetul Cluj, Strada Voievodul Gelu, nr. 28 M";"BRANSAMENT GAZE NATURALE"
2015;41;13-01-2015;04-12-2014;436193;02-12-2014;;bransare;;"judetul Cluj, Strada Albini Septimiu, nr. 115";"BRANSAMENT GAZE NATURALE"
2015;42;13-01-2015;05-12-2014;436209;02-12-2014;;bransare;;"judetul Cluj, AUGUSTIN MAIOR, nr. 7";"BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R."
2015;43;13-01-2015;05-12-2014;436227;02-12-2014;;bransare;;"judetul Cluj, Strada Bradutului, nr. 30";"BRANSAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) si P.R."
2015;44;13-01-2015;29-12-2014;453986;15-12-2014;;bransare;;"judetul Cluj, Strada Oasului, nr. 336";"bransament gaze naturale"
2015;45;13-01-2015;13-01-2015;450107;11-12-2014;;bransare;;"judetul Cluj, VORONET, nr. 6";"BRANSAMENT GAZ"
2015;46;13-01-2015;05-12-2014;436219;02-12-2014;;bransare;;"judetul Cluj, nectarului, nr. 5";"BRANSAMENT GAZE NATURALE"
