year;index;data-afisare;data-creare;data-cerere;nr.cerere;regim-h;actiune;tip-lucrari;adresa;titlu
2017;1;4-01-2017;15-12-2016;491683;22-11-2016;;construire,urgenta;;"judetul Cluj, Strada Sesului, nr. fn";"LUCRARI DE INTERVENTIE IN PRIMA URGENTA: CONSTRUIRE ZID DE SPRIJIN."
2017;2;6-01-2017;06-01-2017;474155;10-11-2016;P+E;construire,modificare solutie;locuinte unifamiliale-izolate,amenajari exterioare;"judetul Cluj, municipiul Cluj-Napoca, Beclean, Strada, nr. 9";"MODIFICARE SOLUȚIE CONSTRUCTIVĂ LA PROIECT AUTORIZAT CU A.C. NR. 379 DIN 18.04.2016 „CONSTRUIRE LOCUINȚĂ FAMILIALĂ CU DOUĂ UNITĂȚI LOCATIVE P+E ȘI AMENAJĂRI EXTERIOARE”"
2017;3;6-01-2017;25-11-2016;473412;10-11-2016;;reabilitare termica;locuinte unifamiliale-izolate,birouri,acoperis;"judetul Cluj, General Eremia Grigorescu, nr. 77";"REABILITARE TERMICA, REFACERE INSTALATII INTERIOARE, REFACERE STRUCTURA SARPANTA SI INVELITOARE, SCHIMBARE PARTIALA DE DESTINATIE DIN LOCUINTA IN SPATII BIROURI."
2017;4;6-01-2017;06-01-2017;472008;09-11-2016;;modificare solutie,amenajare;locuinte unifamiliale-izolate,imprejmuire,amenajari exterioare;"judetul Cluj, Regina maria, nr. 5A";"MODIFICARE SOLUTIE CONSTRUCTIVA LA AC 1281/23.10.2016-LOCUINTA UNIFAMILIALA P+E+Er, IMPREJMUIRE, AMENAJARI EXTERIOARE Modificari: micsorarea suprafetei construite a etajului retras ca urmare a modificarii suprafetei terenului in urma reconstituirii drumului de acces, cu incadrarea in limitele avizelor si acordurilor initiale"
2017;5;9-01-2017;09-01-2017;274854;21-06-2016;P+E;construire,amenajare;birouri,imprejmuire,amenajari exterioare;"judetul Cluj, Col sopor, nr. 45G prov";"IMOBIL MIXT (BIROURI SI LOCUINTE) P+E, IMPREJMUIRE, AMENAJARI EXTERIOARE"
2017;6;10-01-2017;12-12-2016;501193;29-11-2016;PARTER,P;amenajare;locuinte colective,comert,amenajari exterioare;"judetul Cluj, Strada Macesului, nr. 2 pr";"ANSAMBLU MIXT ( CORP C1, C2, C3, C4-DOUA CORPURI CUPLATE), FIECARE CORP CU 7 APARTAMENTE SI SPATIU COMERCIAL LA PARTER,  CU REGIM DE INALTIME S+P+2E+Er CONFORM P.U.Z. APROBAT CU H.C.L. nr.44/04.02.2016,  AMENAJARI EXTERIOARE."
2017;7;10-01-2017;10-01-2017;472254;10-11-2016;P+M;etajare,amenajare;locuinte unifamiliale-izolate,amenajari exterioare;"judetul Cluj, Romulus Vuia, nr. 189";"MANSARDARE LOCUINTA SI AMENAJARI EXTERIOARE, REGIM DE INALTIME P+M"
2017;8;12-01-2017;15-12-2016;511850;08-12-2016;;construire;;"judetul Cluj, ALEȘD NR. 16";"RACORD CANAL MENAJER ."
2017;9;12-01-2017;15-12-2016;512634;08-12-2016;;bransare;;"judetul Cluj, VALEA CHINTĂULUI  NR. 90";"BRANSAMENT APA SI RACORD CANAL MENAJER"
2017;10;12-01-2017;20-12-2016;520198;13-12-2016;;bransare;;"judetul Cluj, ROMUL LADEA   NR.8-10";"BRANȘAMENT DE GAZE NATURALE DE PRESIUNE REDUSA ( in montaj subteran) ,  P.R."
