year;index;data-afisare;data-creare;data-cerere;nr.cerere;regim-h;actiune;tip-lucrari;adresa;titlu
2019;1;3-01-2019;03-01-2019;573316;29-11-2018;;construire,modificari interioare;locuinte colective,comert,servicii,imprejmuire;"judetul Cluj, Piata Avram Iancu, nr. 28";"Modificari pe parcursul executiei la lucrari de construire-Imobil mixt cu regimul de inaltime 2S+P+Me+3E-COMERT,SERVICII,LOCUINTE COLECTIVE,imprejmuire  autorizate cu AC nr.2170-13.12.2016  Modificarile propuse-modificari interioare,modificarea unor goluri pe fatade cu incadrarea in avizele si acordurile initiale"
2019;2;3-01-2019;03-01-2019;548890;16-11-2018;P;extindere,amenajare;birouri,garaj,amenajari exterioare;"judetul Cluj, Strada Sobarilor, nr. 33";"Extindere cladire de birouri cu spatiu de garaj aferent functiuni de baza si amenajari exterioare  regimul de inaltime P"
2019;3;3-01-2019;03-01-2019;530879;07-11-2018;;bransare;;"judetul Cluj, b-dul Muncii, nr. 73";"Bransament de apa ,racord canal si racord pluvial"
2019;4;4-01-2019;04-01-2019;510661;29-10-2018;S+P+3E,parter;construire;comert;"judetul Cluj, Strada Fagului, nr. 88";"MODIFICARI APARUTE IN TIMPUL EXECUTIEI LA LUCRAREA EXECUTAT PE BAZA AC NR 1351/10.08.2016-IMOBIL MIXT -SPATII COMERCIALE SI LOCUINTE S+P+3E Modificarile propuse-modificari la nivelul fatadelor sio modificari la nivelul compartimentarilor interioare la parter ,se incadreaza in limitele avizelor si acordurilor obtinute"
2019;5;4-01-2019;04-01-2019;530121;07-11-2018;;construire;;"judetul Cluj, Strada Memorandumului";"Retea subterana DUCTCITY NETWORK-str. LOT 24,canalizatie subterana pentru cabluri cu fibre optice,retea locala cabluri subterane si canalizatie suplimentara subterana pentru cabluri cu fibre optice pentru relocarea retelelor subterne existente si refacere drum"
2019;6;9-01-2019;09-01-2019;544136;14-11-2018;;reabilitare termica,amenajare;;"judetul Cluj, Strada Gruia, nr. 51";"Realitare structurala si reamenajare arhitecturala pentru cladire de ateliere la scoala gimnaziala speciala pentru deficienti de auz KOZMUTZA FLORA"
2019;7;9-01-2019;21-12-2018;590637;11-12-2018;;bransare;;"judetul Cluj, MihaiL SEBASTIAN, nr. 8";"BRANSAMENT GAZ SI POST REGLARE MASURARE GAZ"
2019;8;9-01-2019;28-12-2018;605377;19-12-2018;;bransare;;"judetul Cluj, Strada Haller Karoly, nr. 23";"BRANSAMENT GAZ SI POST REGLARE MASURARE"
2019;9;9-01-2019;27-12-2018;577578;04-12-2018;;bransare;;"judetul Cluj, PaUNULUI, nr. 6";"BRANSAMENT GAZ SI POST REGLARE MASURARE"
2019;10;9-01-2019;21-12-2018;572076;29-11-2018;;construire;;"judetul Cluj, Sanzienelor, nr. 13";"BRANSAMENT DE APA"
2019;11;9-01-2019;21-12-2018;553742;20-11-2018;;construire,amenajare;locuinte unifamiliale-izolate,imprejmuire,amenajari exterioare;"judetul Cluj, Vladeasa, nr. 30";"CONSTRUIRE CASA UNIFAMILIALA, AMENAJARI EXTERIOARE, IMPREJMUIRE, RACORDURI SI BRANSAMENTE"
2019;12;9-01-2019;21-12-2018;591843;11-12-2018;S+P+E+R;construire,amenajare;locuinte unifamiliale-izolate,imprejmuire,amenajari exterioare;"judetul Cluj, Rachitei, nr. 22";"CONSTRUIRE LOCUINTA SEMICOLECTIVA S+P+E+R CU 2 UNITATI LOCATIVE,  IMPREJMUIRE SI AMENAJARI EXTERIOARE"
2019;13;9-01-2019;17-12-2018;538971;12-11-2018;S+P+5E+R;construire;locuinte unifamiliale-insiruite,locuinte colective,birouri,comert,servicii,amenajari interioare;"judetul Cluj, Strada Traian, nr. 36";"RECOMPARTIMENTARI INTERIOARE SI SCHIMBARE DE DESINATIE DIN BIROURI IN UNITATI INDIVIDUALE CU FUNCTIUNEA DE LOCUIT AMPLASATE IN IMOBIL EXISTENT CORP A, CU FUNCTIUNI MIXTE, COMERT, SERVICII, BIROURI, LOCUINTE COLECTIVE S+P+5E+R"
2019;14;9-01-2019;03-01-2019;560379;22-11-2018;S+P+E+R;construire,amenajare;locuinte unifamiliale-izolate,imprejmuire,amenajari exterioare;"judetul Cluj, Strada Serpuitoare, nr. 17-19";"LOCUINTA SEMICOLECTIVA CU DOUA UNITATI LOCATIVE S+P+E+R, IMPREJMUIRE, AMENAJARI EXTERIOARE"
2019;15;9-01-2019;09-01-2019;601454;17-12-2018;;construire;;"judetul Cluj, Strada Tractoristilor, nr. 17B";"Bransament electric trifazat subteran"
2019;16;9-01-2019;09-01-2019;586666;07-12-2018;P+6E+Eretras;continuare lucrari;locuinte unifamiliale-izolate,locuinte colective;"judetul Cluj, DIMBOVITEI, nr. 99";"Continuare de lucrari cu modificare proiect autorizat cu AC nr. 1041 din 4.09.2012,96 din 26.01.2018-Locuinta colectiva cu regimul de inaltime P+6E+Eretras cu 74 apartamente in ansamblul imobiliar Marasti-imobil A Modificarile propuse-reducerea gabaritului etajului tehnic cu incadrarea in limitele avizelor/acordurilor obtinute pentru autorizatiile anterioare"
2019;17;10-01-2019;21-12-2018;560926;23-11-2018;;bransare;;"judetul Cluj, municipiul Cluj-Napoca, Strada Ioan Alexandru, nr. 2";"BRANSAMENT APA -RACORD CANAL"
2019;18;10-01-2019;18-12-2018;574593;03-12-2018;;extindere,bransare;;"judetul Cluj, municipiul Cluj-Napoca, Strada Sânzienelor, nr. 15";"BRANȘAMENT APĂ ȘI EXTINDERE CANAL MENAJER"
2019;19;10-01-2019;21-12-2018;573011;29-11-2018;;bransare;;"judetul Cluj, municipiul Cluj-Napoca, Strada Horticultorilor, nr. 3";"BRANȘAMENT GAZE NATURALE"
2019;20;10-01-2019;29-12-2018;597292;13-12-2018;;amplasare;marcare;"judetul Cluj, municipiul Cluj-Napoca, Strada Dunării, nr. 142";"AMPLASARE FIRMĂ LUMINOASĂ  PE FAȚADA IMOBILULUI ȘI COPERTINĂ-  în sistem provizoriu și demontabil"
2019;21;10-01-2019;19-12-2018;549151;16-11-2018;P+E+M;construire,amenajare;locuinte unifamiliale-cuplate,imprejmuire,amenajari exterioare;"judetul Cluj, municipiul Cluj-Napoca, Strada Eugen Ionesco, nr. 127";"CONSTRUIRE LOCUINȚĂ UNIFAMILIALĂ ÎN SISTEM CUPLAT P+E+M , AMENAJARI EXTERIOARE, ȘI ÎMPREJMUIRE TEREN"
2019;22;10-01-2019;22-12-2018;594885;12-12-2018;;reparatie;;"judetul Cluj, Strada Albini Septimiu, nr. 116";"REPARATII CAPITALE CONSTRUCTIE EXISTENTA (CORP C1). Categoria de importanta: „D”."
